Compañía,Documento,Pedido_ERP,RECEIPT_DATE1,PACKING_LIST_ID,Fecha_Etiqueta,RECEIPT_ID_TYPE,erp,Proveedor,Puerta,Inicio_Check_in,Inicio_Etiquetado,ID_Recibido1,Lineas2,Líneas_recibidas,Cantidad_Recibida,ID_Pendiente_por_recibir,ID_Pendiente_por_almacenar,ID__Almacenado,Cantidad_Almacenado,Lineas,Lineas1,Cantidad_total,Inicio_de_almacenaje,PEDIMENTO,FECHA_CERRADO,Horas_Inspeccion,Horas_Etiquetado,Horas_Acomodo,estatus
Siemens,´0088817086INC,0088817086,09/05/2023 10:48 AM,Sin Asignar,Sin asignar,Rechazo,Sin Dato,Sin asignar,Sin Asignar,,,0.00,1,0,0,100.00,0.00,0.00,,1,1,1.00,,,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente
Siemens,0088682040INC,0088682040,03/02/2023 01:26 PM,100532,02/02/2023 05:05 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-03 03:28,,100.00,1,0,8,0.00,0.00,100.00,8,1,1,8.00,2023-02-03 07:04,,2023-02-03 19:04:30,22,No Aplica,4,26
Siemens,0088699918,0088699918,01/02/2023 06:55 PM,Sin Asignar,Sin asignar,Rechazo,Sin Dato,Sin asignar,Sin Asignar,,,0.00,1,0,0,100.00,0.00,0.00,,1,1,1.00,,,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente
Siemens,0088725818INC,0088725818,02/05/2023 11:52 AM,107958,27/04/2023 05:52 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-05-02 12:25,,100.00,1,0,4,0.00,0.00,100.00,4,1,1,4.00,2023-05-02 02:47,,2023-05-02 14:47:45,43,No Aplica,2,45
Siemens,0088728098INC,0088728098,09/02/2023 01:59 PM,101003,08/02/2023 09:50 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-09 02:33,,100.00,1,0,1,0.00,0.00,100.00,1,1,1,1.00,2023-02-09 06:45,,2023-02-09 18:45:42,17,No Aplica,4,21
Siemens,0088730754-1INC,0088730754,03/02/2023 01:35 PM,100541,02/02/2023 06:32 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-03 02:19,,100.00,1,0,1,0.00,0.00,100.00,1,1,1,1.00,2023-02-03 03:36,,2023-02-03 15:36:20,20,No Aplica,1,22
Siemens,0088737640INC,0088737640,09/02/2023 01:55 PM,100941,08/02/2023 04:34 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-09 02:29,,100.00,1,0,1,0.00,0.00,100.00,1,1,1,1.00,2023-02-09 06:46,,2023-02-09 18:46:01,22,No Aplica,4,27
Siemens,0088739011INC,0088739011,17/02/2023 12:50 PM,101603,16/02/2023 01:24 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-17 01:40,,100.00,1,0,4,0.00,0.00,100.00,4,1,1,4.00,2023-02-17 03:58,,2023-02-17 15:58:54,24,No Aplica,2,27
Siemens,0088745577INC,88745577,20/02/2023 06:09 PM,101792,18/02/2023 04:35 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-21 03:03,,100.00,1,0,2,0.00,0.00,100.00,2,1,1,2.00,2023-02-22 04:50,,2023-02-22 04:50:10,23,No Aplica,13,53
Siemens,0088747396INC,0088747396,17/02/2023 12:50 PM,101600,16/02/2023 01:21 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-17 01:59,,100.00,1,0,2,0.00,0.00,100.00,2,1,1,2.00,2023-02-17 03:55,,2023-02-17 15:55:28,24,No Aplica,2,27
Siemens,0088747739INC,0088747739,17/02/2023 12:50 PM,101596,16/02/2023 01:16 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-17 01:56,,100.00,1,0,1,0.00,0.00,100.00,1,1,1,1.00,2023-02-17 03:55,,2023-02-17 15:55:17,24,No Aplica,2,27
Siemens,0088752221INC,0088752221,23/02/2023 10:46 AM,102087,21/02/2023 08:01 PM,Rechazo,Sin Dato,Sin asignar,R01,2023-02-23 12:04,,100.00,1,0,1,0.00,0.00,100.00,1,1,1,1.00,2023-02-23 02:46,,2023-02-23 14:46:29,40,No Aplica,2,43
